District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Female_ST,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated
1,JAMMU AND KASHMIR,Kupwara,870354,474190,396164,439654,282823,156831,33439,34680,56759,7946,129679,37128,823286,1700,5600,66,39,13,60616,101642,99947,74948,39709,21751,6402,405015,289765,694780,600759,178435,89679,1481
2,JAMMU AND KASHMIR,Badgam,753745,398041,355704,335649,207741,127908,11529,55299,36630,29102,93835,10110,736054,1489,5559,47,6,2,68336,80862,83141,66459,41367,27950,6857,374972,342646,717618,503223,160933,88978,611
3,JAMMU AND KASHMIR,Leh(Ladakh),133487,78971,54516,93770,62834,30936,48314,20869,1645,1020,51545,22882,19057,658,1092,88635,103,54,10452,15181,17900,16265,8923,6197,575,75493,32637,108130,70703,41515,21019,250
4,JAMMU AND KASHMIR,Kargil,140802,77785,63017,86236,56301,29935,59684,8266,3763,1222,38622,10341,108239,604,1171,20126,28,4,12732,19083,20874,16938,9826,3077,408,82938,39854,122792,87532,35561,17488,221
5,JAMMU AND KASHMIR,Punch,476835,251899,224936,261724,163333,98391,85827,54264,31583,3930,71616,32604,431279,958,11188,83,10,2,55762,72024,69219,46062,29517,13962,1884,288430,164044,452474,304979,109818,61334,704
6,JAMMU AND KASHMIR,Rajouri,642415,345351,297064,364109,224469,139640,111441,136527,24016,4656,125713,221880,402879,983,15513,189,26,3,70996,91859,108785,65921,35804,18576,3036,394977,242306,637283,404903,153165,83319,1028
7,JAMMU AND KASHMIR,Kathua,616435,326109,290326,389204,228499,160705,25614,69533,21566,3952,105380,540063,64234,1828,9551,24,16,2,69396,82715,106411,91522,47694,24330,4504,426572,181297,607869,357864,160123,97684,764
8,JAMMU AND KASHMIR,Baramula,1008039,534733,473306,545149,337170,207979,17468,57495,62246,15084,169375,30621,959185,1497,14770,140,29,7,76778,117000,137510,107837,57932,48285,9708,555050,350119,905169,636524,239659,130513,1343
9,JAMMU AND KASHMIR,Bandipore,392232,207680,184552,185979,117058,68921,35976,28232,32882,20484,67719,8439,382006,572,555,44,17,2,34064,47240,48849,35630,18644,12721,2268,199416,163648,363064,252378,90465,48802,587
10,JAMMU AND KASHMIR,Srinagar,1236829,651124,585705,748584,431746,316838,3914,12228,10408,20095,364457,42540,1177342,2746,12187,285,74,2,88911,173309,178723,176409,132727,121856,32114,904049,310225,1214274,693238,351561,190330,1700
11,JAMMU AND KASHMIR,Ganderbal,297446,158720,138726,143276,90581,52695,28516,15337,19312,7630,58611,5592,290581,406,486,25,8,4,25817,38735,38375,28247,15005,9633,2212,158024,116734,274758,194165,66945,35911,425
12,JAMMU AND KASHMIR,Pulwama,560440,293064,267376,293958,178326,115632,10770,49746,34080,10615,93979,13840,535159,1109,9440,35,6,18,36201,54808,73991,67368,40931,31286,5897,310482,190369,500851,342601,137032,80111,696
13,JAMMU AND KASHMIR,Shupiyan,266215,136480,129735,136500,80355,56145,10509,47424,10835,3395,26067,3116,262263,429,178,6,1,6,26468,29593,36939,28617,16501,10782,2010,150910,107053,257963,170086,60752,35158,219
14,JAMMU AND KASHMIR,Anantnag,1078692,559767,518925,545532,324417,221115,55016,140957,76364,16322,156041,13180,1057005,1449,6140,55,7,7,73719,99059,129174,97121,52407,41570,9160,502210,337265,839475,704145,239988,133519,1040
15,JAMMU AND KASHMIR,Kulgam,424483,217620,206863,209085,125052,84033,12637,69173,29928,6193,54696,4267,418076,460,1035,27,25,9,36066,47268,60470,45383,24214,18240,3190,234831,175199,410030,266858,99870,57253,502
16,JAMMU AND KASHMIR,Doda,409936,213641,196295,219083,138620,80463,18839,69947,12199,1932,67834,187621,220614,472,422,21,22,42,43794,47350,62719,48359,31416,12647,1846,248131,163565,411696,263576,93189,52744,427
17,JAMMU AND KASHMIR,Ramban,283713,149132,134581,124065,82938,41127,18832,41394,8810,2538,34470,81026,200516,414,753,43,3,252,33971,35284,35115,22591,13331,4923,1498,146713,141812,288525,188526,61604,33220,363
18,JAMMU AND KASHMIR,Kishtwar,230696,120165,110531,107506,68700,38806,18260,39271,16296,1186,26221,93931,133225,277,450,2094,3,514,25022,25675,27745,19550,14521,5438,2529,120480,101166,221646,145931,53415,31084,266
19,JAMMU AND KASHMIR,Udhampur,554985,296784,258201,322354,197543,124811,27167,113020,11396,2641,116615,489044,59771,1962,3418,106,57,235,58567,80129,86008,55024,29657,17345,4030,330760,194838,525598,339145,140785,74757,298
20,JAMMU AND KASHMIR,Reasi,314667,166461,148206,150542,93937,56605,42035,96147,4009,534,44077,153898,156275,1208,3107,15,7,3,33411,40215,36184,24066,14064,4733,575,153248,143293,296541,203967,70767,39743,190
21,JAMMU AND KASHMIR,Jammu,1529958,813821,716137,1137135,641916,495219,32870,68613,36873,10589,392547,1289240,107489,12104,114272,470,1987,321,135391,185962,253542,261852,159257,146501,30616,1173121,268279,1441400,816827,435895,275585,1651
22,JAMMU AND KASHMIR,Samba,318898,169124,149774,228139,130312,97827,8385,16894,6105,1520,68007,275311,22950,2306,17961,48,16,6,29138,41233,59931,61407,30503,14055,2600,238867,65643,304510,177277,88246,53022,353
23,HIMACHAL PRADESH,Chamba,519080,261320,257760,323842,186064,137778,67600,196665,9193,4521,83656,479782,32455,1559,2745,1740,57,14,56272,96789,67653,64515,40440,15506,3252,344427,154575,499002,306555,130606,81566,353
24,HIMACHAL PRADESH,Kangra,1510075,750591,759484,1152640,606443,546197,42819,303007,54849,15662,301652,1461140,19797,3023,8929,14511,194,208,127699,243617,223099,284124,192936,91236,13577,1176288,271892,1448180,766581,419172,319420,4902
25,HIMACHAL PRADESH,Lahul AND Spiti,31564,16588,14976,21845,12897,8948,12959,11227,572,167,7329,11649,74,212,35,19572,3,1,3776,5042,4011,3934,3557,2378,119,22817,6515,29332,15928,9181,6200,255
26,HIMACHAL PRADESH,Kullu,437903,225452,212451,307672,174550,133122,8329,197141,12372,2707,56864,415669,2974,1568,1396,15377,94,83,48384,77363,61854,58122,39081,23168,2377,310349,103136,413485,244727,120510,72282,384
27,HIMACHAL PRADESH,Mandi,999777,498065,501712,723747,393669,330078,6442,387944,15822,7134,161771,981412,9460,876,4081,2628,43,86,100052,159043,132147,180188,128549,54139,9350,763468,218570,982038,524285,279321,194661,1510
28,HIMACHAL PRADESH,Hamirpur,454768,217070,237698,358091,180555,177536,1513,147103,8824,3347,82657,449412,3711,243,591,95,293,9,37327,71107,72114,91184,64363,35620,5263,376978,72551,449529,224044,123941,106641,142
29,HIMACHAL PRADESH,Una,521173,263692,257481,399715,213281,186434,4156,84800,19604,3427,107515,480138,14275,390,26009,56,70,10,51838,87913,81256,105204,60626,32120,5511,424468,87735,512203,273223,142351,105358,241
30,HIMACHAL PRADESH,Bilaspur,381956,192764,189192,287620,155599,132021,5208,127169,4138,2561,72003,371973,6984,236,2387,113,10,7,35817,59489,53515,64730,45695,25474,3241,287961,65864,353825,193671,107367,80497,421
31,HIMACHAL PRADESH,Solan,580320,308754,271566,428578,244372,184206,12294,141267,10283,4969,142218,548579,14678,1452,13926,574,591,110,50331,89407,83992,95232,59363,36803,8280,423408,104084,527492,321533,167168,90808,811
32,HIMACHAL PRADESH,Sirmaur,529855,276289,253566,362645,205617,157028,5350,182958,10730,5313,81082,476830,33215,577,15501,2645,236,86,57853,100123,78103,67080,38282,23352,4048,368841,140486,509327,310244,136839,82471,301
33,HIMACHAL PRADESH,Shimla,814010,425039,388971,612642,342846,269796,4201,249786,26114,7967,147059,791449,11810,2025,4047,3262,185,197,69967,113536,113305,141490,95341,80414,9748,623801,137576,761377,425721,241956,145577,756
34,HIMACHAL PRADESH,Kinnaur,84121,46249,37872,60699,36697,24002,25137,32995,2537,944,19797,64732,448,485,249,18086,29,45,9400,13749,11437,11140,7871,5118,713,59428,16944,76372,42360,26599,15075,87
35,PUNJAB,Gurdaspur,2298323,1212617,1085706,1634719,907660,727059,0,147912,100684,30903,477639,1074332,27667,176587,1002874,405,580,812,180897,315156,290618,372317,243539,104345,22107,1528979,478020,2006999,1261421,611353,423301,2248
36,PUNJAB,Kapurthala,815168,426311,388857,576567,316254,260313,0,55252,42387,9861,176665,336124,10190,5445,453692,6662,553,334,71698,127031,112774,128828,77442,48221,9501,575495,174995,750490,433331,222324,157833,1680
37,PUNJAB,Jalandhar,2193590,1145211,1048379,1622537,882581,739956,0,85695,66664,29762,592351,1394329,30233,26016,718363,11385,4011,805,183441,333736,304652,339758,216646,162965,34576,1575774,387809,1963583,1159156,616431,416449,1554
38,PUNJAB,Hoshiarpur,1586625,809057,777568,1199699,637927,561772,0,89772,74362,15990,319698,1000743,23089,14968,538208,3476,2034,531,143871,256127,238975,301435,176013,93618,17427,1227466,294723,1522189,831741,422782,330671,1431
